  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
     7     21          2        5        0        0       -0.001187       -0.000903        8.301891        8.301891        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        3.187368        2.426832       -0.620345        0.360847       -4.037753        0.000000        0.000000        0.000000
     9     21          2        7        0        0       -0.001187       -0.000903        8.301891        8.301891        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0        3.186182        2.425928        7.681546        8.662738        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0       -3.173085       -2.415957      -19.307811       19.715397        0.000510        0.000000        0.000000        0.000000
    12     12       2103        5       15       15       -0.040101        0.044864       90.466642       90.469950        0.771330        0.000000        0.000000        0.000000
    13     12         21       10       15       15        0.445077        1.070436        3.176987        3.381889        0.000000        0.000000        0.000000        0.000000
    14     11          2       10       15       15        2.768110        1.300657        5.664182        6.437166        0.000000        0.000000        0.000000        0.000000
    15     11         92       12       16       20        3.173085        2.415957       99.307811      100.289005       13.414090        0.000000        0.000000        0.000000
    16      1       2212       15        0        0       -0.419080       -0.228419       63.925423       63.934090        0.938270        0.000000        0.000000        0.000000
    17      1       -321       15        0        0        0.615276        0.534641       15.848254       15.876876        0.493600        0.000000        0.000000        0.000000
    18     11        323       15       21       22        0.002849        0.126891       12.289427       12.317475        0.821023        0.000000        0.000000        0.000000
    19     11        111       15       23       24        0.359479        0.471918        1.927571        2.021307        0.134980        0.000000        0.000000        0.000000
    20     11        221       15       25       27        2.614561        1.510926        5.317136        6.139256        0.547450        0.000000        0.000000        0.000000
    21     11        311       18       28       28       -0.015079       -0.043797        5.051120        5.075789        0.497670        0.000000        0.000000        0.000000
    22      1        211       18        0        0        0.017927        0.170688        7.238306        7.241686        0.139570        0.000000        0.000000        0.000000
    23      1         22       19        0        0        0.316377        0.321954        1.380781        1.452689        0.000000        0.000111        0.000146        0.000595
    24      1         22       19        0        0        0.043101        0.149964        0.546790        0.568618        0.000000        0.000111        0.000146        0.000595
    25     11        111       20       29       30        0.901256        0.527244        1.638989        1.948013        0.134980        0.000000        0.000000        0.000000
    26     11        111       20       31       32        0.333744        0.217320        0.897534        0.991161        0.134980        0.000000        0.000000        0.000000
    27     11        111       20       33       34        1.379561        0.766362        2.780614        3.200083        0.134980        0.000000        0.000000        0.000000
    28     11        310       21       35       36       -0.015079       -0.043797        5.051120        5.075789        0.497670        0.000000        0.000000        0.000000
    29      1         22       25        0        0        0.270567        0.231842        0.566547        0.669278        0.000000        0.000411        0.000240        0.000747
    30      1         22       25        0        0        0.630689        0.295402        1.072442        1.278735        0.000000        0.000411        0.000240        0.000747
    31      1         22       26        0        0        0.272435        0.104027        0.613768        0.679525        0.000000        0.000003        0.000002        0.000009
    32      1         22       26        0        0        0.061309        0.113293        0.283766        0.311636        0.000000        0.000003        0.000002        0.000009
    33      1         22       27        0        0        0.889222        0.566379        1.864436        2.141874        0.000000        0.000275        0.000153        0.000555
    34      1         22       27        0        0        0.490339        0.199983        0.916177        1.058209        0.000000        0.000275        0.000153        0.000555
    35      1        211       28        0        0       -0.082607        0.169816        2.214722        2.227136        0.139570       -2.524445       -7.332418      845.652778
    36      1       -211       28        0        0        0.067528       -0.213613        2.836398        2.848653        0.139570       -2.524445       -7.332418      845.652778
 =============== Event finished ===============
   0         12    1   99 2212         -2  0.018218           22     0.948683     0.000000      0.10205875454       14.87461910136        0.01821780391      802.49377441406      435.10293579102        0.78113664792      722.24436336160        -361.122181681        -361.122181681           0.000000000          14.874619101           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.324398849        -361.122181681             34
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -2.595223        2.573198      -17.772888       18.144754        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        2.595223       -2.573198       -2.227112        1.855246       -3.856763        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000       -0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        2.598021       -2.575972       -2.225587        1.861173       -3.856763        0.000000        0.000000        0.000000
     7     21         -2        5        0        0       -0.000051        0.000050        1.819791        1.819791        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        2.598021       -2.575972       -2.225587        1.861173       -3.856763        0.000000        0.000000        0.000000
     9     21         -2        7        0        0       -0.000051        0.000050        1.819791        1.819791        0.000000        0.000000        0.000000        0.000000
    10     21         -2        9        0        0        2.597970       -2.575922       -0.405796        3.680964        0.000000        0.000000        0.000000        0.000000
    11      1       2212        5        0        0        0.239402        0.126070       79.824763       79.830736        0.938270        0.000000        0.000000        0.000000
    12      1         11        3        0        0       -2.595223        2.573198      -17.772888       18.144754        0.000510        0.000000        0.000000        0.000000
    13     12          2        5       16       16        0.085708       -0.246588       18.421626       18.426431        0.330000        0.000000        0.000000        0.000000
    14     12         21       10       16       16        1.252767       -1.219440       -0.873712        1.954439        0.000000        0.000000        0.000000        0.000000
    15     11         -2       10       16       16        1.017347       -1.233240        0.400211        1.648042        0.000000        0.000000        0.000000        0.000000
    16     11         92       13       17       21        2.355821       -2.699268       17.948125       22.028912       12.259766        0.000000        0.000000        0.000000
    17     11        323       16       22       23       -0.340264        0.039845        4.720661        4.809388        0.853347        0.000000        0.000000        0.000000
    18     11       -311       16       24       24        0.199885       -0.139565        9.935562        9.951005        0.497670        0.000000        0.000000        0.000000
    19     11       -213       16       25       26        0.328059        0.138611        2.593096        2.724683        0.756909        0.000000        0.000000        0.000000
    20     11       2224       16       27       28        0.303190       -1.355518        0.352216        1.847759        1.166536        0.000000        0.000000        0.000000
    21     11      -2224       16       29       30        1.864951       -1.382640        0.346589        2.696078        1.326262        0.000000        0.000000        0.000000
    22      1        321       17        0        0       -0.017816       -0.049605        1.824098        1.890437        0.493600        0.000000        0.000000        0.000000
    23     11        111       17       31       32       -0.322449        0.089451        2.896563        2.918950        0.134980        0.000000        0.000000        0.000000
    24      1        130       18        0        0        0.199885       -0.139565        9.935562        9.951005        0.497670        0.000000        0.000000        0.000000
    25      1       -211       19        0        0        0.245738        0.408654        1.905820        1.969521        0.139570        0.000000        0.000000        0.000000
    26     11        111       19       33       34        0.082322       -0.270043        0.687277        0.755162        0.134980        0.000000        0.000000        0.000000
    27      1       2212       20        0        0        0.329018       -0.933437        0.322890        1.401487        0.938270        0.000000        0.000000        0.000000
    28      1        211       20        0        0       -0.025828       -0.422081        0.029326        0.446272        0.139570        0.000000        0.000000        0.000000
    29      1      -2212       21        0        0        1.873238       -1.223513        0.191853        2.433755        0.938270        0.000000        0.000000        0.000000
    30      1       -211       21        0        0       -0.008286       -0.159127        0.154736        0.262323        0.139570        0.000000        0.000000        0.000000
    31      1         22       23        0        0       -0.303788        0.050074        2.706514        2.723969        0.000000       -0.000025        0.000007        0.000222
    32      1         22       23        0        0       -0.018661        0.039377        0.190049        0.194981        0.000000       -0.000025        0.000007        0.000222
    33      1         22       26        0        0        0.093262       -0.264804        0.687932        0.743014        0.000000        0.000014       -0.000045        0.000114
    34      1         22       26        0        0       -0.010940       -0.005240       -0.000656        0.012148        0.000000        0.000014       -0.000045        0.000114
 =============== Event finished ===============
   0         13    1   28 2212         21  0.101015           -1     0.313363     0.051330      0.36489506502       10.64315000332        0.00364588224     2909.46215820312     1555.64233398438        5.92434540591       92.09683575777         -66.486207242         -25.610628516          18.488730270          18.488730270           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.255793273         -66.486207242             67
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -2.434305       -0.913057      -12.569056       12.835135        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        2.434305        0.913057       -7.430944        7.164865       -3.262384        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         -1        4        0        0        1.113475       -1.433148       -1.979795        2.685764       -0.000000        0.000000        0.000000        0.000000
     7     21         21        5        0        0        0.263926       -0.651062       13.674480       13.692514       -0.000000        0.000000        0.000000        0.000000
     8     21         -1        6        0        0        0.885722       -1.140008       -1.574842        2.136410        0.000000        0.000000        0.000000        0.000000
     9     21         21        7        0        0        0.458657        0.715026       12.280717       12.310062        0.000000        0.000000        0.000000        0.000000
    10     21         -1        0        0        0        4.409945       -1.761288        9.932240       11.013993        0.330000        0.000000        0.000000        0.000000
    11     21         21        0        0        0       -3.065565        1.336306        0.773635        3.432479        0.000000        0.000000        0.000000        0.000000
    12      1         11        3        0        0       -2.434305       -0.913057      -12.569056       12.835135        0.000510        0.000000        0.000000        0.000000
    13     12         -1       10       20       20        4.073640       -1.626950        9.176244       10.176142        0.330000        0.000000        0.000000        0.000000
    14     11          2        5       20       20       -0.089796        0.243332        1.739761        1.789677        0.330000        0.000000        0.000000        0.000000
    15     12          1        4       24       24        1.309437        2.341931       -4.560465        5.301510        0.330000        0.000000        0.000000        0.000000
    16     12         21       11       24       24       -1.125874        1.361686        1.923235        2.611630        0.000000        0.000000        0.000000        0.000000
    17     12         21       11       24       24       -1.603387       -0.159717       -0.393604        1.658700        0.000000        0.000000        0.000000        0.000000
    18     12         21        7       24       24        0.033022       -1.659228        0.988810        1.931806        0.000000        0.000000        0.000000        0.000000
    19     11       2103        5       24       24       -0.162737        0.412003       83.695076       83.699802        0.771330        0.000000        0.000000        0.000000
    20     11         92       13       21       23        3.983845       -1.383618       10.916005       11.965819        2.497245        0.000000        0.000000        0.000000
    21     11        221       20       38       40        1.074706       -0.560773        1.778015        2.220473        0.547450        0.000000        0.000000        0.000000
    22      1        211       20        0        0        2.880121       -0.862811        9.115896        9.599926        0.139570        0.000000        0.000000        0.000000
    23     11        111       20       41       42        0.029017        0.039966        0.022094        0.145420        0.134980        0.000000        0.000000        0.000000
    24     11         92       15       25       37       -1.549539        2.296675       81.653051       95.203448       48.875351        0.000000        0.000000        0.000000
    25      1       -211       24        0        0        1.087990        1.808159       -4.061573        4.579194        0.139570        0.000000        0.000000        0.000000
    26      1        211       24        0        0       -0.029300        0.547703        0.409928        0.698826        0.139570        0.000000        0.000000        0.000000
    27      1       2112       24        0        0       -0.500601        0.400893        0.578812        1.276375        0.939570        0.000000        0.000000        0.000000
    28      1      -2212       24        0        0       -0.334228       -0.223003       -0.194435        1.039035        0.938270        0.000000        0.000000        0.000000
    29     11        213       24       43       44       -0.511826        0.390392        0.706236        1.196154        0.719475        0.000000        0.000000        0.000000
    30     11        111       24       45       46       -0.359252        0.020685        0.184464        0.426306        0.134980        0.000000        0.000000        0.000000
    31     11        111       24       47       48       -0.434904       -0.043702       -0.542362        0.709526        0.134980        0.000000        0.000000        0.000000
    32     11        113       24       49       50       -0.283093       -0.283738        0.660114        1.006995        0.646251        0.000000        0.000000        0.000000
    33     11        223       24       51       53        0.137140       -0.293681        1.276117        1.533166        0.785536        0.000000        0.000000        0.000000
    34     11        311       24       54       54        0.117457       -0.157719        4.975378        5.004072        0.497670        0.000000        0.000000        0.000000
    35     11       -311       24       55       55       -0.197529       -0.326801        4.377382        4.422099        0.497670        0.000000        0.000000        0.000000
    36      1       -211       24        0        0       -0.331450       -0.035200        4.058617        4.074672        0.139570        0.000000        0.000000        0.000000
    37     11       2214       24       56       57        0.090057        0.492686       69.224374       69.237028        1.225242        0.000000        0.000000        0.000000
    38      1       -211       21        0        0        0.181650       -0.216420        0.297674        0.433502        0.139570        0.000000        0.000000        0.000000
    39      1        211       21        0        0        0.447995       -0.123635        0.680828        0.836057        0.139570        0.000000        0.000000        0.000000
    40     11        111       21       58       59        0.445061       -0.220718        0.799514        0.950914        0.134980        0.000000        0.000000        0.000000
    41      1         22       23        0        0        0.049860        0.015699        0.070276        0.087586        0.000000        0.000003        0.000004        0.000002
    42      1         22       23        0        0       -0.020843        0.024267       -0.048182        0.057835        0.000000        0.000003        0.000004        0.000002
    43      1        211       29        0        0       -0.163775       -0.121624        0.448474        0.512078        0.139570        0.000000        0.000000        0.000000
    44     11        111       29       60       61       -0.348051        0.512016        0.257762        0.684076        0.134980        0.000000        0.000000        0.000000
    45      1         22       30        0        0       -0.138425       -0.014739        0.004567        0.139282        0.000000       -0.000003        0.000000        0.000001
    46      1         22       30        0        0       -0.220828        0.035424        0.179897        0.287024        0.000000       -0.000003        0.000000        0.000001
    47      1         22       31        0        0       -0.257096       -0.080304       -0.263648        0.376905        0.000000       -0.000047       -0.000005       -0.000059
    48      1         22       31        0        0       -0.177807        0.036602       -0.278714        0.332621        0.000000       -0.000047       -0.000005       -0.000059
    49      1        211       32        0        0        0.001396       -0.252513        0.622818        0.686402        0.139570        0.000000        0.000000        0.000000
    50      1       -211       32        0        0       -0.284489       -0.031224        0.037295        0.320593        0.139570        0.000000        0.000000        0.000000
    51      1       -211       33        0        0        0.286798       -0.051672        0.450287        0.554221        0.139570        0.000000        0.000000        0.000000
    52      1        211       33        0        0       -0.056785       -0.193998        0.163782        0.295236        0.139570        0.000000        0.000000        0.000000
    53     11        111       33       62       63       -0.092873       -0.048011        0.662048        0.683708        0.134980        0.000000        0.000000        0.000000
    54      1        130       34        0        0        0.117457       -0.157719        4.975378        5.004072        0.497670        0.000000        0.000000        0.000000
    55     11        310       35       64       65       -0.197529       -0.326801        4.377382        4.422099        0.497670        0.000000        0.000000        0.000000
    56      1       2212       37        0        0        0.143314        0.211052       44.484018       44.494644        0.938270        0.000000        0.000000        0.000000
    57     11        111       37       66       67       -0.053257        0.281634       24.740356       24.742384        0.134980        0.000000        0.000000        0.000000
    58      1         22       40        0        0        0.285543       -0.170600        0.632251        0.714409        0.000000        0.000075       -0.000037        0.000135
    59      1         22       40        0        0        0.159517       -0.050118        0.167263        0.236505        0.000000        0.000075       -0.000037        0.000135
    60      1         22       44        0        0       -0.115814        0.212338        0.167923        0.294446        0.000000       -0.000043        0.000063        0.000032
    61      1         22       44        0        0       -0.232237        0.299678        0.089839        0.389630        0.000000       -0.000043        0.000063        0.000032
    62      1         22       53        0        0       -0.006673        0.031589        0.329332        0.330911        0.000000       -0.000016       -0.000008        0.000111
    63      1         22       53        0        0       -0.086200       -0.079599        0.332716        0.352798        0.000000       -0.000016       -0.000008        0.000111
    64      1       -211       55        0        0       -0.178200       -0.125344        0.911562        0.947571        0.139570      -22.540504      -37.291953      499.512266
    65      1        211       55        0        0       -0.019329       -0.201457        3.465820        3.474528        0.139570      -22.540504      -37.291953      499.512266
    66      1         22       57        0        0        0.030060        0.192301       15.354243       15.355477        0.000000       -0.000001        0.000006        0.000530
    67      1         22       57        0        0       -0.083316        0.089333        9.386113        9.386908        0.000000       -0.000001        0.000006        0.000530
 =============== Event finished ===============
   0         14    1   99 2212          2  0.015592           22     0.948683     0.000000      0.26497957350       33.05346402147        0.01559211500     2087.71020507812     1129.67663574219        5.26989961707     1878.93911598916        -939.469557995        -939.469557995           0.000000000          33.053464021           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.277373768        -939.469557995             51
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0       -2.607808       -4.182618      -14.287231       15.113568        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0        2.607808        4.182618       -5.712769        4.886432       -5.749214        0.000000        0.000000        0.000000
     5     21       2212        2        0        0        0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0        2.608891        4.184355       -5.713846        4.889756       -5.749214        0.000000        0.000000        0.000000
     7     21          2        5        0        0       -0.000017       -0.000027        1.558581        1.558581        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0        2.608891        4.184355       -5.713846        4.889756       -5.749214        0.000000        0.000000        0.000000
     9     21          2        7        0        0       -0.000017       -0.000027        1.558581        1.558581        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0        2.608874        4.184328       -4.155265        6.448337        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0       -2.607808       -4.182618      -14.287231       15.113568        0.000510        0.000000        0.000000        0.000000
    12     12          2       10       14       14        2.761858        4.001416       -4.185919        6.415693        0.000000        0.000000        0.000000        0.000000
    13     11       2101        5       14       14       -0.154050        0.181202       98.473150       98.475141        0.579330        0.000000        0.000000        0.000000
    14     11         92       12       15       25        2.607808        4.182618       94.287231      104.890834       45.691467        0.000000        0.000000        0.000000
    15     11        213       14       26       27        1.348254        1.881873       -1.878872        3.038029        0.583289        0.000000        0.000000        0.000000
    16      1       -211       14        0        0        0.111540        0.810900       -0.304085        0.884278        0.139570        0.000000        0.000000        0.000000
    17     11        111       14       28       29        0.323283        0.095260       -0.709646        0.797122        0.134980        0.000000        0.000000        0.000000
    18     11        213       14       30       31        0.300713        0.757041       -0.447149        1.249540        0.835386        0.000000        0.000000        0.000000
    19     11       -213       14       32       33        0.692752        0.252802        1.586987        1.980439        0.927252        0.000000        0.000000        0.000000
    20     11        323       14       34       35       -0.473284        0.191141        0.879024        1.336731        0.868121        0.000000        0.000000        0.000000
    21      1       -321       14        0        0        0.365660        0.242510        1.069586        1.257050        0.493600        0.000000        0.000000        0.000000
    22     11        223       14       36       38       -0.127627        0.000598        4.362761        4.434678        0.785109        0.000000        0.000000        0.000000
    23      1        211       14        0        0        0.420142       -0.104692        0.796216        0.917016        0.139570        0.000000        0.000000        0.000000
    24     11        111       14       39       40       -0.711019       -0.118362        4.658382        4.715751        0.134980        0.000000        0.000000        0.000000
    25      1       2112       14        0        0        0.357394        0.173547       84.274027       84.280201        0.939570        0.000000        0.000000        0.000000
    26      1        211       15        0        0        1.236823        1.555706       -1.731502        2.639608        0.139570        0.000000        0.000000        0.000000
    27     11        111       15       41       42        0.111432        0.326167       -0.147370        0.398421        0.134980        0.000000        0.000000        0.000000
    28      1         22       17        0        0        0.036059       -0.026705       -0.147506        0.154180        0.000000        0.000058        0.000017       -0.000128
    29      1         22       17        0        0        0.287224        0.121965       -0.562140        0.642942        0.000000        0.000058        0.000017       -0.000128
    30      1        211       18        0        0        0.514062        0.354150       -0.435695        0.773946        0.139570        0.000000        0.000000        0.000000
    31     11        111       18       43       44       -0.213349        0.402891       -0.011454        0.475595        0.134980        0.000000        0.000000        0.000000
    32      1       -211       19        0        0        0.479381       -0.203749        1.244613        1.356415        0.139570        0.000000        0.000000        0.000000
    33     11        111       19       45       46        0.213371        0.456551        0.342374        0.624024        0.134980        0.000000        0.000000        0.000000
    34     11        311       20       47       47       -0.338164        0.287511        0.898591        1.118999        0.497670        0.000000        0.000000        0.000000
    35      1        211       20        0        0       -0.135119       -0.096370       -0.019567        0.217732        0.139570        0.000000        0.000000        0.000000
    36      1        211       22        0        0       -0.076314       -0.044830        1.633313        1.641653        0.139570        0.000000        0.000000        0.000000
    37      1       -211       22        0        0        0.052836       -0.224764        1.105213        1.137667        0.139570        0.000000        0.000000        0.000000
    38     11        111       22       48       49       -0.104150        0.270192        1.624235        1.655358        0.134980        0.000000        0.000000        0.000000
    39      1         22       24        0        0       -0.478496       -0.112142        2.791395        2.834329        0.000000       -0.000554       -0.000092        0.003626
    40      1         22       24        0        0       -0.232522       -0.006220        1.866988        1.881422        0.000000       -0.000554       -0.000092        0.003626
    41      1         22       27        0        0        0.121428        0.272511       -0.074722        0.307555        0.000000        0.000034        0.000101       -0.000046
    42      1         22       27        0        0       -0.009996        0.053656       -0.072648        0.090866        0.000000        0.000034        0.000101       -0.000046
    43      1         22       31        0        0       -0.100235        0.274068        0.044636        0.295216        0.000000       -0.000199        0.000376       -0.000011
    44      1         22       31        0        0       -0.113114        0.128823       -0.056089        0.180378        0.000000       -0.000199        0.000376       -0.000011
    45      1         22       33        0        0       -0.000134        0.077019        0.098112        0.124732        0.000000        0.000098        0.000210        0.000157
    46      1         22       33        0        0        0.213505        0.379532        0.244261        0.499292        0.000000        0.000098        0.000210        0.000157
    47     11        310       34       50       51       -0.338164        0.287511        0.898591        1.118999        0.497670        0.000000        0.000000        0.000000
    48      1         22       38        0        0        0.013612        0.006521        0.018562        0.023924        0.000000       -0.000041        0.000106        0.000639
    49      1         22       38        0        0       -0.117762        0.263672        1.605674        1.631435        0.000000       -0.000041        0.000106        0.000639
    50      1        211       47        0        0       -0.415924        0.209378        0.702180        0.854031        0.139570      -14.699601       12.497770       39.060651
    51      1       -211       47        0        0        0.077759        0.078133        0.196411        0.264968        0.139570      -14.699601       12.497770       39.060651
 =============== Event finished ===============
   0         15    1   99 2212          2  0.029627           22     0.948683     0.000000      0.67115468515      159.07781662836        0.02962698415     5211.15820312500     2861.30639648438        4.18719717672     4690.04236537165       -2345.021182686       -2345.021182686           0.000000000         159.077816628           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.196713870       -2345.021182686             64
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        3.626313       -6.257915       -4.588390        8.565335        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -3.626313        6.257915      -15.411610       11.434665      -12.612605        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -3.626908        6.258941      -15.413166       11.437511      -12.612605        0.000000        0.000000        0.000000
     7     21          2        5        0        0        0.000018       -0.000030        2.962259        2.962259        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -3.626908        6.258941      -15.413166       11.437511      -12.612605        0.000000        0.000000        0.000000
     9     21          2        7        0        0        0.000018       -0.000030        2.962259        2.962259        0.000000        0.000000        0.000000        0.000000
    10     21          2        9        0        0       -3.626890        6.258911      -12.450907       14.399770        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0        3.626313       -6.257915       -4.588390        8.565335        0.000510        0.000000        0.000000        0.000000
    12     12       2103        5       17       17       -0.370599       -0.269785       94.404309       94.408573        0.771330        0.000000        0.000000        0.000000
    13     12         21       10       17       17       -2.227643       -1.533822        1.349064        3.022413        0.000000        0.000000        0.000000        0.000000
    14     12         21       10       17       17       -0.053351        0.389559       -0.125977        0.412884        0.000000        0.000000        0.000000        0.000000
    15     12         21       10       17       17       -0.825251        1.280588       -1.771543        2.336517        0.000000        0.000000        0.000000        0.000000
    16     11          2       10       17       17       -0.149470        6.391375       -9.267463       11.258680        0.000000        0.000000        0.000000        0.000000
    17     11         92       12       18       31       -3.626313        6.257915       84.588390      111.439066       72.188352        0.000000        0.000000        0.000000
    18     11       2114       17       32       33        0.483381       -0.331809       60.612658       60.629600        1.307771        0.000000        0.000000        0.000000
    19     11        111       17       34       35       -0.960211       -0.243165       17.380448       17.409174        0.134980        0.000000        0.000000        0.000000
    20     11        213       17       36       37       -0.254321        0.232933        3.867671        3.945139        0.697360        0.000000        0.000000        0.000000
    21     11        111       17       38       39        0.042579       -0.048487        1.192625        1.201973        0.134980        0.000000        0.000000        0.000000
    22      1      -2212       17        0        0       -0.227669       -0.428618        2.196115        2.436970        0.938270        0.000000        0.000000        0.000000
    23      1       2212       17        0        0       -0.358665       -0.153106        7.304466        7.374799        0.938270        0.000000        0.000000        0.000000
    24     11        223       17       40       42       -0.493052       -0.038895        1.170970        1.491269        0.779807        0.000000        0.000000        0.000000
    25     11       -213       17       43       44       -0.101444        0.499447        0.844873        1.259151        0.782249        0.000000        0.000000        0.000000
    26      1      -2112       17        0        0       -0.639517       -0.706584        0.642388        1.484486        0.939570        0.000000        0.000000        0.000000
    27      1       2112       17        0        0        0.218542        0.705276       -0.396336        1.258987        0.939570        0.000000        0.000000        0.000000
    28     11        221       17       45       46       -0.815547        1.707474       -3.359964        3.894822        0.547450        0.000000        0.000000        0.000000
    29     11        213       17       47       48       -0.415573        1.937738       -1.804286        2.789836        0.774731        0.000000        0.000000        0.000000
    30     11       -213       17       49       50        0.130900        1.129699       -2.691359        3.023651        0.778268        0.000000        0.000000        0.000000
    31     11        213       17       51       52       -0.235717        1.996014       -2.371880        3.239212        0.909418        0.000000        0.000000        0.000000
    32      1       2212       18        0        0        0.395531        0.047383       42.507876       42.520096        0.938270        0.000000        0.000000        0.000000
    33      1       -211       18        0        0        0.087849       -0.379193       18.104782       18.109504        0.139570        0.000000        0.000000        0.000000
    34      1         22       19        0        0       -0.523397       -0.112619       10.497542       10.511185        0.000000       -0.000792       -0.000201        0.014343
    35      1         22       19        0        0       -0.436814       -0.130546        6.882906        6.897989        0.000000       -0.000792       -0.000201        0.014343
    36      1        211       20        0        0       -0.251771       -0.019460        3.267440        3.280155        0.139570        0.000000        0.000000        0.000000
    37     11        111       20       53       54       -0.002549        0.252393        0.600231        0.664985        0.134980        0.000000        0.000000        0.000000
    38      1         22       21        0        0        0.076892        0.006587        0.454955        0.461454        0.000000        0.000000       -0.000000        0.000006
    39      1         22       21        0        0       -0.034313       -0.055074        0.737670        0.740518        0.000000        0.000000       -0.000000        0.000006
    40      1        211       24        0        0       -0.002180        0.107813        0.681839        0.704281        0.139570        0.000000        0.000000        0.000000
    41      1       -211       24        0        0       -0.295612       -0.023707        0.370005        0.494300        0.139570        0.000000        0.000000        0.000000
    42     11        111       24       55       56       -0.195259       -0.123001        0.119126        0.292688        0.134980        0.000000        0.000000        0.000000
    43      1       -211       25        0        0        0.141327        0.385015        0.084247        0.441347        0.139570        0.000000        0.000000        0.000000
    44     11        111       25       57       58       -0.242771        0.114432        0.760625        0.817804        0.134980        0.000000        0.000000        0.000000
    45      1         22       28        0        0       -0.528837        0.556661       -1.568594        1.746433        0.000000        0.000000        0.000000        0.000000
    46      1         22       28        0        0       -0.286710        1.150813       -1.791369        2.148389        0.000000        0.000000        0.000000        0.000000
    47      1        211       29        0        0       -0.107722        0.264657       -0.016661        0.318441        0.139570        0.000000        0.000000        0.000000
    48     11        111       29       59       60       -0.307852        1.673080       -1.787624        2.471394        0.134980        0.000000        0.000000        0.000000
    49      1       -211       30        0        0       -0.238131        0.219856       -1.034216        1.092760        0.139570        0.000000        0.000000        0.000000
    50     11        111       30       61       62        0.369031        0.909843       -1.657143        1.930891        0.134980        0.000000        0.000000        0.000000
    51      1        211       31        0        0        0.150091        0.529170       -1.166255        1.296989        0.139570        0.000000        0.000000        0.000000
    52     11        111       31       63       64       -0.385808        1.466844       -1.205625        1.942223        0.134980        0.000000        0.000000        0.000000
