  PYTHIA EVENT FILE 
 ============================================
I, ievent, genevent, subprocess, nucleon,                 targetparton, xtargparton, beamparton, xbeamparton,               thetabeamprtn, truey, trueQ2, truex, trueW2, trueNu, leptonphi,   s_hat, t_hat, u_hat, pt2_hat, Q2_hat, F2, F1, R, sigma_rad,       SigRadCor, EBrems, photonflux, t-diff, nrTracks
 ============================================
  I  K(I,1)  K(I,2)  K(I,3)  K(I,4)  K(I,5)            P(I,1)  P(I,2)  P(I,3)  P(I,4)  P(I,5)  V(I,1)  V(I,2)  V(I,3)
 ============================================
   0          1    1   99 2212         -4  0.012570           22     0.948683     0.000000      0.31094973662       31.26930419406        0.01256980281     2457.26367187500     1325.65930175781        3.08330475421     2211.53731874763       -1105.768659374       -1105.768659374           0.000000000          31.269304194           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.266402228       -1105.768659374             63
 ============================================
    25      1         22       19        0        0       -0.015929        0.477834       13.245903       13.254529        0.000000        0.000001        0.000012        0.000376
    26      1        211       20        0        0       -0.114040        0.298506        1.728701        1.763519        0.139570        0.000000        0.000000        0.000000
    27     11        111       20       30       31       -0.039111       -0.471633        2.945945        2.986767        0.134980        0.000000        0.000000        0.000000
    28      1       -211       21        0        0       -0.402947       -0.196887        3.646020        3.676149        0.139570        0.000000        0.000000        0.000000
    29      1        211       21        0        0       -0.012615        0.647620        4.892959        4.937621        0.139570        0.000000        0.000000        0.000000
    30      1         22       27        0        0       -0.020922       -0.003273        0.198676        0.199801        0.000000       -0.000037       -0.000452        0.002824
    31      1         22       27        0        0       -0.018189       -0.468360        2.747269        2.786966        0.000000       -0.000037       -0.000452        0.002824
 =============== Event finished ===============
   0          3    1   99 2212          1  0.047012           22     0.948683     0.000000      0.40605383526      152.71740323225        0.04701163620     3096.66528320312     1731.11279296875        4.58030222404     2786.99861013827       -1393.499305069       -1393.499305069           0.000000000         152.717403232           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.000000000           0.235830567       -1393.499305069             59
 ============================================
     1     21         11        0        3        4        0.000000        0.000000      -20.000000       20.000000        0.000510        0.000000        0.000000        0.000000
     2     21       2212        0        5        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     3     21         11        1        0        0        1.254333       -9.440988       -9.969914       13.787849        0.000510        0.000000        0.000000        0.000000
     4     21         22        1        0        0       -1.254333        9.440988      -10.030086        6.212151      -12.357888        0.000000        0.000000        0.000000
     5     21       2212        2        0        0       -0.000000        0.000000      100.000000      100.004402        0.938270        0.000000        0.000000        0.000000
     6     21         22        4        0        0       -1.254673        9.443546      -10.030257        6.216382      -12.357888        0.000000        0.000000        0.000000
     7     21          1        5        0        0        0.000016       -0.000120        4.699898        4.699898        0.000000        0.000000        0.000000        0.000000
     8     21         22        6        0        0       -1.254673        9.443546      -10.030257        6.216382      -12.357888        0.000000        0.000000        0.000000
     9     21          1        7        0        0        0.000016       -0.000120        4.699898        4.699898        0.000000        0.000000        0.000000        0.000000
    10     21          1        9        0        0       -1.254657        9.443426       -5.330359       10.916280        0.000000        0.000000        0.000000        0.000000
    11      1         11        3        0        0        1.254333       -9.440988       -9.969914       13.787849        0.000510        0.000000        0.000000        0.000000
    12     12       2203        5       19       19        0.189242       -0.287563       91.181652       91.185564        0.771330        0.000000        0.000000        0.000000
    13     12         21       10       19       19       -0.259594        1.600729        0.458940        1.685334        0.000000        0.000000        0.000000        0.000000
    14     12         21       10       19       19        0.057753        3.245176       -0.444964        3.276049        0.000000        0.000000        0.000000        0.000000
    15     12         21       10       19       19       -1.132112        6.276164       -0.096539        6.378184        0.000000        0.000000        0.000000        0.000000
    16     12         21       10       19       19       -0.667220        0.748360       -0.044338        1.003589        0.000000        0.000000        0.000000        0.000000
    17     12         21       10       19       19       -0.079158       -1.517348       -0.423010        1.577196        0.000000        0.000000        0.000000        0.000000
    18     11          1       10       19       19        0.636756       -0.624532       -0.661828        1.110637        0.000000        0.000000        0.000000        0.000000
    19     11         92       12       20       33       -1.254333        9.440988       89.969914      106.216553       55.647687        0.000000        0.000000        0.000000
    20     11       2224       19       34       35        0.105519       -0.014822       36.477141       36.495898        1.165056        0.000000        0.000000        0.000000
    21     11       -213       19       36       37       -0.555696        0.009492       35.763521       35.772788        0.595011        0.000000        0.000000        0.000000
    22     11        213       19       38       39        0.451211       -0.046807       11.712226       11.748267        0.799844        0.000000        0.000000        0.000000
    23      1      -2212       19        0        0       -0.019284       -0.033017        1.911931        2.130093        0.938270        0.000000        0.000000        0.000000
    24      1       2212       19        0        0        0.146135        0.481548        4.998582        5.110716        0.938270        0.000000        0.000000        0.000000
    25      1      -2212       19        0        0        0.026826        2.747182       -0.695639        2.985296        0.938270        0.000000        0.000000        0.000000
    26      1       2112       19        0        0       -0.810335        1.866289        0.621559        2.325684        0.939570        0.000000        0.000000        0.000000
    27     11        213       19       40       41       -0.054426        1.791205        0.650116        2.015179        0.653389        0.000000        0.000000        0.000000
    28     11        223       19       42       44       -0.609873        2.684177       -0.698700        2.944805        0.779064        0.000000        0.000000        0.000000
    29     11        113       19       45       46        0.113541        0.505486        0.315224        1.124196        0.946595        0.000000        0.000000        0.000000
    30     11        223       19       47       49       -0.466774       -0.040352        0.021505        0.928457        0.801289        0.000000        0.000000        0.000000
    31      1      -2212       19        0        0        0.439114       -0.323137       -0.810088        1.354190        0.938270        0.000000        0.000000        0.000000
    32      1       2212       19        0        0       -0.151237       -0.062795       -0.397710        1.032153        0.938270        0.000000        0.000000        0.000000
    33      1       -211       19        0        0        0.130945       -0.123461        0.100245        0.248833        0.139570        0.000000        0.000000        0.000000
    34      1       2212       20        0        0        0.184087        0.108027       28.651653       28.667806        0.938270        0.000000        0.000000        0.000000
    35      1        211       20        0        0       -0.078567       -0.122850        7.825489        7.828092        0.139570        0.000000        0.000000        0.000000
    36      1       -211       21        0        0       -0.372740        0.247097       24.452527       24.457014        0.139570        0.000000        0.000000        0.000000
    37     11        111       21       50       51       -0.182956       -0.237605       11.310994       11.315774        0.134980        0.000000        0.000000        0.000000
    38      1        211       22        0        0        0.473076        0.278544        7.109480        7.132011        0.139570        0.000000        0.000000        0.000000
    39     11        111       22       52       53       -0.021865       -0.325351        4.602746        4.616256        0.134980        0.000000        0.000000        0.000000
    40      1        211       27        0        0       -0.304146        1.031407        0.259642        1.114988        0.139570        0.000000        0.000000        0.000000
    41     11        111       27       54       55        0.249720        0.759799        0.390474        0.900191        0.134980        0.000000        0.000000        0.000000
    42      1       -211       28        0        0        0.022976        0.292904       -0.188272        0.375828        0.139570        0.000000        0.000000        0.000000
    43      1        211       28        0        0       -0.254961        0.949248       -0.392488        1.067522        0.139570        0.000000        0.000000        0.000000
    44     11        111       28       56       57       -0.377887        1.442025       -0.117940        1.501454        0.134980        0.000000        0.000000        0.000000
    45      1       -211       29        0        0        0.139530        0.738130        0.365626        0.847034        0.139570        0.000000        0.000000        0.000000
    46      1        211       29        0        0       -0.025989       -0.232644       -0.050402        0.277162        0.139570        0.000000        0.000000        0.000000
    47      1        211       30        0        0        0.013580        0.114136       -0.199221        0.269035        0.139570        0.000000        0.000000        0.000000
    48      1       -211       30        0        0       -0.195664        0.047479        0.114308        0.270342        0.139570        0.000000        0.000000        0.000000
    49     11        111       30       58       59       -0.284690       -0.201966        0.106418        0.389080        0.134980        0.000000        0.000000        0.000000
    50      1         22       37        0        0       -0.110432       -0.215760        7.191352        7.195435        0.000000       -0.000005       -0.000007        0.000335
    51      1         22       37        0        0       -0.072524       -0.021845        4.119642        4.120338        0.000000       -0.000005       -0.000007        0.000335
    52      1         22       39        0        0        0.037819       -0.035524        1.016279        1.017602        0.000000       -0.000017       -0.000253        0.003579
    53      1         22       39        0        0       -0.059684       -0.289827        3.586467        3.598654        0.000000       -0.000017       -0.000253        0.003579
    54      1         22       41        0        0        0.026581        0.124088        0.118511        0.173635        0.000000        0.000053        0.000161        0.000083
    55      1         22       41        0        0        0.223139        0.635710        0.271963        0.726555        0.000000        0.000053        0.000161        0.000083
    56      1         22       44        0        0       -0.284751        1.098574       -0.031809        1.135324        0.000000       -0.000168        0.000639       -0.000052
    57      1         22       44        0        0       -0.093136        0.343451       -0.086131        0.366130        0.000000       -0.000168        0.000639       -0.000052
    58      1         22       49        0        0       -0.295967       -0.175221        0.106488        0.360054        0.000000       -0.000115       -0.000082        0.000043
